Problem_ID,Subcat,problem_latex,answer_latex
C_4x4_det_001,determinant,A = \begin{bmatrix} -4 & 1 & 5 & 3 \\ -1 & -2 & 0 & -3 \\ 1 & -5 & 4 & 2 \\ -5 & 2 & -1 & -4 \end{bmatrix},\det(A) = 97
C_4x4_det_002,determinant,A = \begin{bmatrix} -5 & 1 & 4 & -1 \\ -2 & -5 & -4 & 5 \\ 4 & -1 & -1 & 4 \\ 1 & 1 & 4 & 3 \end{bmatrix},\det(A) = -28
C_4x4_det_003,determinant,A = \begin{bmatrix} 0 & -5 & -2 & -1 \\ -4 & 0 & 4 & 3 \\ -4 & -2 & -3 & -2 \\ 3 & 2 & -2 & 4 \end{bmatrix},\det(A) = 707
C_4x4_det_004,determinant,A = \begin{bmatrix} 1 & -5 & 0 & 5 \\ 1 & 3 & 2 & -5 \\ 2 & -3 & -1 & -1 \\ -5 & -1 & -4 & -3 \end{bmatrix},\det(A) = 276
C_4x4_det_005,determinant,A = \begin{bmatrix} -5 & -4 & -5 & -2 \\ -2 & -5 & -1 & -2 \\ -2 & -3 & 4 & 0 \\ 2 & 0 & 2 & 4 \end{bmatrix},\det(A) = 368
C_4x4_det_006,determinant,A = \begin{bmatrix} 2 & -5 & -2 & 0 \\ -4 & 0 & -4 & -3 \\ 1 & -4 & 0 & -2 \\ -2 & 3 & -2 & -4 \end{bmatrix},\det(A) = 224
C_4x4_det_007,determinant,A = \begin{bmatrix} -1 & 1 & 1 & -3 \\ -5 & 1 & 1 & -5 \\ 3 & -5 & 4 & 1 \\ 4 & -4 & -1 & 5 \end{bmatrix},\det(A) = -96
C_4x4_det_008,determinant,A = \begin{bmatrix} -4 & 0 & -1 & 5 \\ 1 & 0 & -2 & 5 \\ 4 & 2 & -5 & 2 \\ -5 & 3 & -5 & 5 \end{bmatrix},\det(A) = -51
C_4x4_det_009,determinant,A = \begin{bmatrix} 2 & 0 & -5 & -3 \\ 1 & 5 & 3 & 4 \\ -5 & -5 & 1 & -4 \\ 2 & 4 & -4 & -1 \end{bmatrix},\det(A) = -60
C_4x4_det_010,determinant,A = \begin{bmatrix} -2 & 0 & -1 & -2 \\ -1 & -3 & 4 & -4 \\ 1 & 4 & -5 & 3 \\ -1 & -1 & -1 & -2 \end{bmatrix},\det(A) = -24
C_4x4_det_011,determinant,A = \begin{bmatrix} -4 & -4 & 3 & 1 \\ -2 & 1 & 1 & 4 \\ 5 & 3 & 1 & -1 \\ -1 & 2 & -2 & -3 \end{bmatrix},\det(A) = 288
C_4x4_det_012,determinant,A = \begin{bmatrix} 4 & 4 & -3 & -1 \\ 4 & 1 & -5 & -4 \\ 2 & -5 & -2 & 3 \\ 2 & -1 & -5 & -1 \end{bmatrix},\det(A) = -314
C_4x4_det_013,determinant,A = \begin{bmatrix} 2 & 3 & 2 & 1 \\ 3 & 0 & 4 & -2 \\ -2 & 3 & -3 & 1 \\ 4 & -1 & 0 & -4 \end{bmatrix},\det(A) = 135
C_4x4_det_014,determinant,A = \begin{bmatrix} 3 & 2 & -5 & 4 \\ -2 & -1 & -2 & -3 \\ 5 & -2 & 4 & -3 \\ 1 & 4 & 4 & -4 \end{bmatrix},\det(A) = 1031
C_4x4_det_015,determinant,A = \begin{bmatrix} 2 & -4 & 1 & 1 \\ 4 & -1 & 5 & -1 \\ 0 & 0 & 2 & -4 \\ -5 & 0 & -1 & 5 \end{bmatrix},\det(A) = 414
C_4x4_det_016,determinant,A = \begin{bmatrix} 4 & 5 & -4 & 2 \\ -5 & 0 & 0 & 4 \\ -3 & -2 & -5 & 3 \\ -5 & -2 & 3 & -1 \end{bmatrix},\det(A) = 388
C_4x4_det_017,determinant,A = \begin{bmatrix} 3 & 5 & -3 & 5 \\ -1 & 3 & 3 & 1 \\ -4 & -3 & 3 & -3 \\ 5 & -4 & 0 & -3 \end{bmatrix},\det(A) = -72
C_4x4_det_018,determinant,A = \begin{bmatrix} 1 & -5 & 0 & 5 \\ 4 & 5 & -4 & -2 \\ 5 & 0 & -2 & 3 \\ 5 & 2 & 5 & -4 \end{bmatrix},\det(A) = -262
C_4x4_det_019,determinant,A = \begin{bmatrix} 1 & 5 & -4 & 3 \\ 4 & 1 & 3 & -1 \\ -2 & 0 & -5 & -1 \\ 2 & 0 & 5 & 4 \end{bmatrix},\det(A) = 171
